LocationCode,DateTime,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
13,2024-02-01 16:12:18,2.09,1012.24,25.82,63.97,4759.17,5.13
13,2024-02-01 16:13:18,0.44,1012.24,25.88,63.93,4772.5,5.18
13,2024-02-01 16:14:18,1.13,1012.2,25.89,63.99,4745.0,5.11
13,2024-02-01 16:15:18,0.7,1012.29,25.83,64.21,4672.5,4.84
13,2024-02-01 16:16:18,0.61,1012.29,25.8,64.32,4530.0,4.78
13,2024-02-01 16:17:18,0.7,1012.29,25.76,64.37,4383.33,4.35
13,2024-02-01 16:18:18,0.35,1012.31,25.76,64.53,4291.67,4.23
13,2024-02-01 16:19:18,0.87,1012.31,25.7,64.8,4283.33,4.24
13,2024-02-01 16:20:17,2.35,1012.33,25.61,65.11,4325.83,4.31
13,2024-02-01 16:21:17,0.17,1012.32,25.61,65.0,4359.17,4.35
13,2024-02-01 16:22:17,0.35,1012.35,25.64,65.16,4295.0,4.23
13,2024-02-01 16:23:17,0.0,1012.35,25.66,65.16,4157.5,4.1
13,2024-02-01 16:24:17,0.44,1012.39,25.7,65.02,4029.17,3.84
13,2024-02-01 16:25:17,1.39,1012.38,25.61,65.48,3947.5,3.74
13,2024-02-01 16:26:17,0.52,1012.44,25.54,65.85,3909.17,3.46
13,2024-02-01 16:27:17,0.35,1012.4,25.51,66.21,3830.0,3.42
13,2024-02-01 16:28:17,2.18,1012.4,25.5,66.81,3892.5,3.46
13,2024-02-01 16:29:17,3.22,1012.46,25.42,67.49,3831.67,3.44
13,2024-02-01 16:30:17,3.57,1012.46,25.32,67.88,3735.83,3.17
13,2024-02-01 16:31:17,2.53,1012.47,25.25,68.12,3655.83,3.12
13,2024-02-01 16:32:17,3.14,1012.47,25.2,68.45,3589.17,3.21
13,2024-02-01 16:33:18,2.7,1012.51,25.15,68.76,3519.17,3.02
13,2024-02-01 16:34:18,0.87,1012.5,25.15,68.95,3414.17,2.88
13,2024-02-01 16:35:18,2.18,1012.5,25.13,68.98,3331.67,2.67
13,2024-02-01 16:36:18,0.17,1012.51,25.14,68.93,3256.67,2.57
13,2024-02-01 16:37:18,0.87,1012.52,25.16,68.47,3169.17,2.43
13,2024-02-01 16:38:18,3.57,1012.49,25.05,69.07,3163.33,2.34
13,2024-02-01 16:39:17,4.01,1012.51,24.93,69.68,3129.17,2.32
13,2024-02-01 16:40:18,2.35,1012.52,24.88,69.85,3093.33,2.3
13,2024-02-01 16:41:17,2.26,1012.51,24.84,70.08,3076.67,2.29
13,2024-02-01 16:42:18,0.17,1012.51,24.88,69.69,3075.0,2.3
13,2024-02-01 16:43:18,0.0,1012.48,24.91,69.79,3019.17,2.24
13,2024-02-01 16:44:18,1.31,1012.46,24.88,69.92,2907.5,2.16
13,2024-02-01 16:45:18,3.22,1012.49,24.81,70.27,2758.33,1.76
13,2024-02-01 16:46:18,0.87,1012.52,24.8,70.43,2639.17,1.75
13,2024-02-01 16:47:18,1.57,1012.54,24.8,70.17,2495.0,1.47
13,2024-02-01 16:48:18,2.53,1012.54,24.74,70.42,2393.33,1.45
13,2024-02-01 16:49:18,2.09,1012.56,24.7,70.54,2360.83,1.42
13,2024-02-01 16:50:18,1.83,1012.57,24.68,70.7,2340.83,1.39
13,2024-02-01 16:51:18,0.7,1012.53,24.68,70.66,2272.5,1.35
13,2024-02-01 16:52:18,1.31,1012.59,24.69,70.57,2236.67,1.34
13,2024-02-01 16:53:18,1.22,1012.59,24.69,70.43,2263.33,1.35
13,2024-02-01 16:54:18,0.52,1012.6,24.72,70.46,2278.33,1.37
13,2024-02-01 16:55:18,2.44,1012.62,24.7,70.38,2305.83,1.27
13,2024-02-01 16:56:17,2.61,1012.62,24.66,70.23,2309.17,1.3
13,2024-02-01 16:57:17,2.87,1012.67,24.64,70.26,2277.5,1.38
13,2024-02-01 16:58:17,0.78,1012.63,24.65,70.13,2225.83,1.25
13,2024-02-01 16:59:17,1.13,1012.66,24.67,70.1,2140.0,1.21
13,2024-02-01 17:00:17,1.92,1012.63,24.66,69.91,2046.67,1.15
13,2024-02-01 17:01:17,1.48,1012.68,24.67,69.81,1960.0,1.09
13,2024-02-01 17:02:17,2.26,1012.64,24.66,69.59,1886.67,0.97
13,2024-02-01 17:03:17,0.87,1012.67,24.67,69.53,1820.0,0.9
13,2024-02-01 17:04:17,1.48,1012.63,24.68,69.65,1761.67,0.81
13,2024-02-01 17:05:17,0.61,1012.65,24.7,69.33,1703.33,0.8
13,2024-02-01 17:06:17,0.0,1012.64,24.72,69.28,1648.33,0.77
13,2024-02-01 17:07:17,0.0,1012.65,24.74,69.16,1590.83,0.74
13,2024-02-01 17:08:17,0.0,1012.68,24.75,69.05,1525.0,0.75
13,2024-02-01 17:09:17,0.0,1012.67,24.75,68.95,1460.0,0.62
13,2024-02-01 17:10:17,0.52,1012.66,24.75,68.67,1389.17,0.59
13,2024-02-01 17:11:17,0.0,1012.69,24.75,68.65,1310.83,0.51
13,2024-02-01 17:12:17,0.0,1012.69,24.74,68.68,1230.83,0.51
13,2024-02-01 17:13:17,0.0,1012.71,24.73,69.01,1158.33,0.43
13,2024-02-01 17:14:17,0.0,1012.73,24.72,68.84,1095.83,0.39
13,2024-02-01 17:15:17,0.0,1012.72,24.71,68.79,1038.33,0.32
13,2024-02-01 17:16:17,0.0,1012.74,24.7,68.93,989.17,0.31
13,2024-02-01 17:17:17,0.0,1012.73,24.68,69.23,944.17,0.32
13,2024-02-01 17:18:17,0.0,1012.74,24.61,69.75,900.0,0.29
13,2024-02-01 17:19:17,0.0,1012.78,24.52,70.01,853.33,0.26
13,2024-02-01 17:20:17,0.0,1012.76,24.46,69.77,807.5,0.21
13,2024-02-01 17:21:17,0.0,1012.74,24.42,70.21,754.17,0.19
13,2024-02-01 17:22:17,0.96,1012.76,24.39,70.78,703.33,0.2
13,2024-02-01 17:23:17,0.52,1012.79,24.37,71.09,668.33,0.19
13,2024-02-01 17:24:17,0.17,1012.79,24.34,71.26,635.0,0.16
13,2024-02-01 17:25:17,0.0,1012.81,24.35,70.78,603.33,0.16
13,2024-02-01 17:26:17,0.0,1012.83,24.35,71.18,567.5,0.12
13,2024-02-01 17:27:17,0.0,1012.79,24.36,70.96,533.33,0.13
13,2024-02-01 17:28:17,0.0,1012.81,24.38,71.29,500.83,0.12
13,2024-02-01 17:29:17,0.17,1012.81,24.36,71.33,458.33,0.09
13,2024-02-01 17:30:17,0.0,1012.84,24.34,71.52,413.33,0.06
13,2024-02-01 17:31:17,0.0,1012.79,24.33,71.74,375.83,0.05
13,2024-02-01 17:32:17,0.0,1012.87,24.29,71.92,345.0,0.04
13,2024-02-01 17:33:17,0.26,1012.86,24.24,72.12,319.17,0.05
13,2024-02-01 17:34:18,0.0,1012.86,24.2,72.42,295.83,0.04
13,2024-02-01 17:35:18,0.0,1012.87,24.16,72.9,272.5,0.03
13,2024-02-01 17:36:18,1.05,1012.85,24.04,73.31,250.0,0.04
13,2024-02-01 17:37:18,1.92,1012.86,23.98,73.69,228.33,0.03
13,2024-02-01 17:38:18,2.18,1012.84,23.94,73.9,208.33,0.04
13,2024-02-01 17:39:18,1.13,1012.84,23.92,73.63,188.33,0.02
13,2024-02-01 17:40:18,2.44,1012.83,23.89,74.14,167.5,0.03
13,2024-02-01 17:41:18,1.92,1012.84,23.86,74.34,145.83,0.02
13,2024-02-01 17:42:18,1.65,1012.86,23.81,74.33,124.17,0.02
13,2024-02-01 17:43:18,0.87,1012.9,23.81,74.62,104.17,0.01
13,2024-02-01 17:44:18,1.39,1012.96,23.81,74.65,86.67,0.02
13,2024-02-01 17:45:18,1.48,1012.98,23.79,74.95,72.5,0.01
13,2024-02-01 17:46:17,2.0,1012.98,23.76,75.05,61.67,0.0
13,2024-02-01 17:47:17,1.83,1013.02,23.73,75.16,52.5,0.0
13,2024-02-01 17:48:17,0.7,1013.04,23.7,75.23,44.17,0.0
13,2024-02-01 17:49:17,0.0,1013.01,23.7,75.43,36.67,0.0
13,2024-02-01 17:50:17,0.52,1012.95,23.67,75.58,30.0,0.0
13,2024-02-01 17:51:17,1.22,1013.02,23.67,75.61,24.17,0.0
13,2024-02-01 17:52:17,1.48,1013.02,23.66,75.38,20.0,0.0
13,2024-02-02 06:22:20,0.0,1014.37,21.01,87.16,20.83,0.01
13,2024-02-02 06:23:21,0.0,1014.4,21.01,87.05,25.0,0.0
13,2024-02-02 06:24:21,0.0,1014.43,21.02,87.32,30.83,0.0
13,2024-02-02 06:25:21,0.0,1014.48,21.03,87.32,37.5,0.0
13,2024-02-02 06:26:20,0.0,1014.47,21.03,87.07,45.83,0.0
13,2024-02-02 06:27:20,0.0,1014.43,21.03,86.94,55.83,0.0
13,2024-02-02 06:28:20,0.0,1014.46,21.04,86.88,67.5,0.0
13,2024-02-02 06:29:20,0.0,1014.44,21.05,86.79,80.83,0.0
13,2024-02-02 06:30:20,0.0,1014.47,21.05,86.89,96.67,0.01
13,2024-02-02 06:31:20,0.0,1014.46,21.06,86.86,114.17,0.0
13,2024-02-02 06:32:21,0.0,1014.52,21.08,86.79,133.33,0.01
13,2024-02-02 06:33:20,0.0,1014.47,21.1,86.84,155.0,0.02
13,2024-02-02 06:34:20,0.0,1014.51,21.12,86.83,178.33,0.01
13,2024-02-02 06:35:20,0.0,1014.54,21.13,86.76,205.0,0.02
13,2024-02-02 06:36:20,0.0,1014.52,21.15,86.78,235.0,0.02
13,2024-02-02 06:37:20,0.0,1014.52,21.16,86.8,270.0,0.03
13,2024-02-02 06:38:20,0.0,1014.52,21.16,86.71,310.0,0.03
13,2024-02-02 06:39:21,0.0,1014.52,21.15,86.81,354.17,0.04
13,2024-02-02 06:40:20,0.87,1014.5,21.14,86.95,404.17,0.04
13,2024-02-02 06:41:21,1.22,1014.53,21.13,86.97,455.83,0.09
13,2024-02-02 06:42:21,0.52,1014.52,21.13,86.93,505.83,0.09
13,2024-02-02 06:43:21,0.61,1014.6,21.14,86.93,555.0,0.1
13,2024-02-02 06:44:20,1.13,1014.6,21.13,86.94,603.33,0.12
13,2024-02-02 06:45:20,0.96,1014.64,21.12,86.86,652.5,0.12
13,2024-02-02 06:46:20,0.87,1014.66,21.11,86.98,702.5,0.16
13,2024-02-02 06:47:20,0.96,1014.68,21.1,86.96,756.67,0.18
13,2024-02-02 06:48:20,0.17,1014.67,21.12,86.86,817.5,0.24
13,2024-02-02 06:49:21,0.0,1014.71,21.15,86.79,877.5,0.25
13,2024-02-02 06:50:20,0.0,1014.74,21.19,86.73,935.83,0.26
13,2024-02-02 06:51:20,0.35,1014.73,21.24,86.62,989.17,0.3
13,2024-02-02 06:52:20,0.35,1014.73,21.3,86.39,961.67,0.28
13,2024-02-02 06:53:20,1.39,1014.73,21.34,86.19,999.17,0.26
13,2024-02-02 06:54:20,2.09,1014.77,21.37,86.09,1177.5,0.4
13,2024-02-02 06:55:20,1.48,1014.81,21.39,85.88,1275.83,0.44
13,2024-02-02 06:56:21,1.39,1014.82,21.41,85.85,1359.17,0.54
13,2024-02-02 06:57:21,1.48,1014.87,21.43,85.73,1421.67,0.56
13,2024-02-02 06:58:20,1.31,1014.9,21.45,85.63,1469.17,0.57
13,2024-02-02 06:59:20,0.44,1014.88,21.48,85.47,1508.33,0.61
13,2024-02-02 07:00:20,1.65,1014.86,21.52,85.39,1556.67,0.7
13,2024-02-02 07:01:20,0.17,1014.94,21.54,85.19,1612.5,0.7
13,2024-02-02 07:02:20,0.0,1014.93,21.56,85.1,1680.0,0.84
13,2024-02-02 07:03:21,0.0,1014.95,21.57,85.04,1754.17,0.77
13,2024-02-02 07:04:21,0.96,1014.95,21.56,85.0,1838.33,0.87
13,2024-02-02 07:05:21,0.52,1014.95,21.58,84.9,1926.67,0.96
13,2024-02-02 07:06:20,0.0,1014.94,21.59,84.88,2013.33,1.11
13,2024-02-02 07:07:20,0.0,1014.93,21.61,84.8,2092.5,1.14
13,2024-02-02 07:08:20,0.0,1014.95,21.64,84.61,2155.83,1.26
13,2024-02-02 07:09:20,0.0,1014.98,21.66,84.52,2204.17,1.33
13,2024-02-02 07:10:20,0.0,1014.95,21.71,84.38,2249.17,1.31
13,2024-02-02 07:11:20,0.0,1015.01,21.76,84.13,2298.33,1.33
13,2024-02-02 07:12:20,0.0,1014.98,21.79,84.04,2286.67,1.32
13,2024-02-02 07:13:21,0.0,1014.97,21.82,83.87,2036.67,0.94
13,2024-02-02 07:14:21,0.0,1015.0,21.85,83.73,2325.0,1.22
13,2024-02-02 07:15:20,0.0,1015.01,21.88,83.54,2795.0,1.9
13,2024-02-02 07:16:20,0.17,1014.97,21.9,83.36,2919.17,1.99
13,2024-02-02 07:17:20,0.0,1014.96,21.92,83.25,3062.5,2.25
13,2024-02-02 07:18:20,0.0,1014.98,21.94,83.2,3015.0,2.04
13,2024-02-02 07:19:20,0.0,1015.04,21.99,83.14,3039.17,2.02
13,2024-02-02 07:20:21,0.0,1015.02,22.04,83.05,3121.67,2.21
13,2024-02-02 07:21:21,0.0,1015.01,22.08,82.86,3388.33,2.59
13,2024-02-02 07:22:21,0.0,1015.0,22.1,82.74,3529.17,2.71
13,2024-02-02 07:23:20,0.17,1015.01,22.12,82.51,3695.0,2.98
13,2024-02-02 07:24:20,0.0,1015.05,22.13,82.55,3939.17,3.38
13,2024-02-02 07:25:20,0.0,1015.08,22.15,82.35,4165.0,3.78
13,2024-02-02 07:26:20,0.0,1015.1,22.15,82.37,4295.0,4.12
13,2024-02-02 07:27:20,0.96,1015.18,22.14,82.35,4392.5,4.24
13,2024-02-02 07:28:20,1.31,1015.19,22.14,82.37,4549.17,4.56
13,2024-02-02 07:29:20,0.61,1015.19,22.17,82.32,4764.17,5.02
13,2024-02-02 07:30:20,0.52,1015.2,22.21,82.16,5036.67,5.52
13,2024-02-02 07:31:21,0.0,1015.22,22.27,81.98,5369.17,6.12
13,2024-02-02 07:32:20,0.0,1015.2,22.34,81.54,5723.33,7.21
13,2024-02-02 07:33:20,0.0,1015.22,22.41,81.27,6069.17,7.86
13,2024-02-02 07:34:20,0.0,1015.28,22.52,81.01,6349.17,8.6
13,2024-02-02 07:35:20,0.61,1015.27,22.57,80.7,6535.83,9.14
13,2024-02-02 07:36:20,0.17,1015.29,22.62,80.41,6609.17,9.22
13,2024-02-02 07:37:20,0.0,1015.33,22.69,80.3,6606.67,9.58
13,2024-02-02 07:38:20,0.0,1015.29,22.73,79.97,6597.5,9.28
13,2024-02-02 07:39:20,0.0,1015.31,22.81,79.74,6542.5,9.14
13,2024-02-02 07:40:21,0.0,1015.32,22.88,79.36,6629.17,9.28
13,2024-02-02 07:41:21,0.35,1015.29,22.85,79.26,6943.33,10.66
13,2024-02-02 07:42:20,0.35,1015.29,22.83,79.33,7039.17,10.48
13,2024-02-02 07:43:20,0.26,1015.28,22.84,79.35,7535.83,12.01
13,2024-02-02 07:44:20,0.17,1015.3,22.89,79.28,8035.83,13.51
13,2024-02-02 07:45:20,0.78,1015.31,22.95,78.89,8242.5,14.23
13,2024-02-02 07:46:20,0.26,1015.33,22.97,78.83,8259.17,14.3
13,2024-02-02 07:47:20,1.57,1015.33,22.99,78.6,7282.5,11.14
13,2024-02-02 07:48:20,1.31,1015.37,22.95,78.62,7055.0,10.35
13,2024-02-02 07:49:20,0.87,1015.43,22.93,78.78,7194.17,10.54
13,2024-02-02 07:50:21,0.78,1015.38,22.94,78.58,7790.83,12.48
13,2024-02-02 07:51:20,0.7,1015.36,22.94,78.47,8080.83,13.41
13,2024-02-02 07:52:20,1.83,1015.36,22.88,78.73,9040.0,16.74
13,2024-02-02 07:53:20,2.09,1015.33,22.92,78.64,9739.17,19.49
13,2024-02-02 07:54:20,1.57,1015.34,23.01,78.34,10162.5,21.38
13,2024-02-02 07:55:20,1.57,1015.32,23.08,77.94,9853.33,19.82
13,2024-02-02 07:56:20,1.05,1015.31,23.11,77.81,9569.17,18.21
13,2024-02-02 07:57:20,2.35,1015.36,23.08,78.02,10601.67,22.55
13,2024-02-02 07:58:20,1.74,1015.38,23.09,78.09,10666.67,22.68
13,2024-02-02 07:59:21,0.17,1015.38,23.19,77.81,11387.5,25.98
13,2024-02-02 08:00:20,0.0,1015.42,23.35,77.38,12135.83,29.38
13,2024-02-02 08:01:20,1.48,1015.43,23.42,76.88,11645.83,27.86
13,2024-02-02 08:02:20,0.78,1015.44,23.53,76.48,10136.67,20.73
13,2024-02-02 08:03:20,0.87,1015.47,23.49,76.54,10322.5,21.7
13,2024-02-02 08:04:20,0.7,1015.47,23.53,76.48,10004.17,20.52
13,2024-02-02 08:05:20,1.39,1015.41,23.55,76.35,10033.33,20.04
13,2024-02-02 08:06:20,0.52,1015.44,23.61,76.33,11670.0,27.15
13,2024-02-02 08:07:21,0.17,1015.44,23.69,76.1,12532.5,31.69
13,2024-02-02 08:08:20,1.05,1015.37,23.78,75.81,12941.67,34.61
13,2024-02-02 08:09:20,0.0,1015.4,23.91,75.5,12992.5,34.17
13,2024-02-02 08:10:20,0.44,1015.36,24.01,75.04,11494.17,26.75
13,2024-02-02 08:11:20,2.7,1015.37,23.87,75.63,11727.5,27.2
13,2024-02-02 08:12:20,0.61,1015.38,23.78,76.12,11818.33,28.1
13,2024-02-02 08:13:20,1.05,1015.37,23.84,76.08,12088.33,29.27
13,2024-02-02 08:14:21,0.26,1015.4,23.9,75.89,11543.33,26.91
13,2024-02-02 08:15:21,0.7,1015.38,24.01,75.45,11497.5,26.11
13,2024-02-02 08:16:20,1.65,1015.38,24.0,75.51,10712.5,23.33
13,2024-02-02 08:17:20,1.57,1015.42,23.88,75.9,10038.33,19.91
13,2024-02-02 08:18:20,0.87,1015.39,23.76,76.27,10318.33,21.47
13,2024-02-02 08:19:20,2.44,1015.42,23.68,76.75,11491.67,26.11
13,2024-02-02 08:20:20,0.78,1015.36,23.72,76.56,12506.67,31.44
13,2024-02-02 08:21:20,0.0,1015.35,23.78,76.11,12848.33,32.9
13,2024-02-02 08:22:20,1.05,1015.38,23.79,75.89,12792.5,33.0
13,2024-02-02 08:23:21,0.61,1015.36,23.82,76.05,12353.33,30.58
13,2024-02-02 08:24:21,2.18,1015.39,23.8,76.08,12612.5,31.8
13,2024-02-02 08:25:20,2.87,1015.34,23.72,76.45,12511.67,31.65
13,2024-02-02 08:26:20,2.7,1015.3,23.69,76.42,12670.83,32.62
13,2024-02-02 08:27:20,1.92,1015.4,23.71,76.53,13040.0,34.28
13,2024-02-02 08:28:20,2.09,1015.38,23.72,76.34,12650.0,32.83
13,2024-02-02 08:29:20,0.0,1015.44,23.81,76.09,11928.33,29.07
13,2024-02-02 08:30:21,0.61,1015.43,23.9,75.6,11723.33,28.0
13,2024-02-02 08:31:20,0.52,1015.43,23.99,75.25,11139.17,25.69
13,2024-02-02 08:32:20,0.52,1015.42,23.96,75.39,10330.0,21.79
13,2024-02-02 08:33:20,0.87,1015.49,23.95,75.38,9346.67,17.89
13,2024-02-02 08:34:20,0.52,1015.5,23.92,75.5,9435.83,18.5
13,2024-02-02 08:35:20,0.26,1015.49,23.89,75.7,9951.67,19.99
13,2024-02-02 08:36:20,0.35,1015.5,23.9,75.75,10035.83,20.78
13,2024-02-02 08:37:20,0.7,1015.56,23.96,75.56,10291.67,21.7
13,2024-02-02 08:38:20,1.13,1015.56,24.02,75.45,10599.17,23.04
13,2024-02-02 08:39:20,0.61,1015.55,24.06,75.36,10075.83,21.44
13,2024-02-02 08:40:21,0.35,1015.52,24.14,75.12,10297.5,21.7
13,2024-02-02 08:41:20,0.61,1015.56,24.2,74.67,10850.0,24.01
13,2024-02-02 08:42:20,1.13,1015.53,24.25,74.5,10985.0,24.91
13,2024-02-02 08:43:20,1.22,1015.55,24.33,74.26,11786.67,28.46
13,2024-02-02 08:44:20,0.0,1015.54,24.47,73.94,12040.83,30.22
13,2024-02-02 08:45:20,0.0,1015.53,24.68,72.84,12023.33,30.22
13,2024-02-02 08:46:20,0.17,1015.57,24.77,72.31,12379.17,31.59
13,2024-02-02 08:47:21,2.26,1015.55,24.68,72.32,13183.33,35.57
13,2024-02-02 08:48:21,2.7,1015.54,24.61,72.54,13488.33,37.82
13,2024-02-02 08:49:20,0.87,1015.54,24.59,72.85,13530.83,37.77
13,2024-02-02 08:50:20,1.22,1015.56,24.54,72.6,13833.33,39.29
13,2024-02-02 08:51:20,2.87,1015.61,24.44,73.11,14140.0,40.75
13,2024-02-02 08:52:20,0.0,1015.62,24.65,72.7,14330.0,41.97
13,2024-02-02 08:53:20,0.35,1015.7,24.8,72.01,14352.5,42.09
13,2024-02-02 08:54:20,0.61,1015.68,24.87,72.02,14604.17,43.4
13,2024-02-02 08:55:20,0.0,1015.65,25.04,71.3,15033.33,47.01
13,2024-02-02 08:56:20,0.44,1015.69,25.11,70.9,15625.0,51.63
13,2024-02-02 08:57:20,0.78,1015.68,25.2,70.42,15970.83,53.13
13,2024-02-02 08:58:21,0.52,1015.6,25.29,69.96,16004.17,53.41
13,2024-02-02 08:59:21,0.61,1015.59,25.36,69.54,16840.83,58.69
13,2024-02-02 09:00:21,2.18,1015.61,25.47,69.22,17788.33,65.6
13,2024-02-02 09:01:21,2.09,1015.59,25.6,68.7,18341.67,69.99
13,2024-02-02 09:02:21,1.57,1015.54,25.61,68.91,18950.83,74.13
13,2024-02-02 09:03:21,1.05,1015.6,25.79,68.01,19704.17,79.73
13,2024-02-02 09:04:21,0.35,1015.59,25.91,67.01,18951.67,74.29
13,2024-02-02 09:05:21,0.35,1015.62,25.94,66.8,17823.33,65.15
13,2024-02-02 09:06:21,0.35,1015.62,26.01,66.07,17678.33,64.75
13,2024-02-02 09:07:21,0.35,1015.67,26.15,66.04,17570.0,63.3
13,2024-02-02 09:08:22,1.13,1015.71,26.15,65.79,17927.5,65.45
13,2024-02-02 09:09:22,0.26,1015.68,26.23,65.77,18368.33,68.89
13,2024-02-02 09:10:22,0.52,1015.7,26.35,65.72,18826.67,72.16
13,2024-02-02 09:11:22,0.0,1015.76,26.58,64.85,18325.83,68.73
13,2024-02-02 09:12:22,1.57,1015.72,26.62,64.87,18342.5,67.39
13,2024-02-02 09:13:22,0.78,1015.7,26.6,65.19,19155.0,74.13
13,2024-02-02 09:14:22,0.0,1015.73,26.78,64.79,19870.83,80.07
13,2024-02-02 09:15:22,0.0,1015.69,27.05,64.04,20319.17,83.76
13,2024-02-02 09:16:22,0.52,1015.71,27.22,62.98,21247.5,91.91
13,2024-02-02 09:17:23,0.96,1015.68,27.14,62.46,21973.33,98.02
13,2024-02-02 09:18:23,1.13,1015.65,27.16,62.36,22611.67,104.37
13,2024-02-02 09:19:23,0.44,1015.64,27.39,62.27,23175.83,108.9
13,2024-02-02 09:20:23,0.0,1015.72,27.76,60.55,23531.67,113.2
13,2024-02-02 09:21:23,0.0,1015.69,28.04,60.22,23811.67,117.01
13,2024-02-02 09:22:23,0.0,1015.68,28.32,59.59,23724.17,115.54
13,2024-02-02 09:23:23,0.44,1015.68,28.57,57.63,23908.33,115.2
13,2024-02-02 09:24:23,0.44,1015.73,28.68,56.54,23880.83,117.5
13,2024-02-02 09:25:23,0.0,1015.66,28.89,56.7,24008.33,117.91
13,2024-02-02 09:26:24,0.0,1015.72,29.18,56.15,23871.67,116.15
13,2024-02-02 09:27:24,1.31,1015.73,29.08,54.44,23921.67,117.3
13,2024-02-02 09:28:24,2.0,1015.72,28.67,55.71,23745.83,115.46
13,2024-02-02 09:29:24,1.39,1015.7,28.47,56.53,24075.0,117.91
13,2024-02-02 09:30:24,1.22,1015.66,28.3,57.38,24021.67,117.83
13,2024-02-02 09:31:24,0.7,1015.65,28.37,57.32,23615.0,113.92
13,2024-02-02 09:32:25,1.48,1015.63,28.32,57.2,23548.33,113.12
13,2024-02-02 09:33:25,0.35,1015.67,28.29,57.75,22790.83,106.62
13,2024-02-02 09:34:25,0.0,1015.64,28.46,57.43,22147.5,100.39
13,2024-02-02 09:35:25,0.35,1015.66,28.56,57.06,22366.67,101.95
13,2024-02-02 09:36:25,0.0,1015.69,28.83,56.75,22793.33,104.95
13,2024-02-02 09:37:25,0.0,1015.73,29.11,55.24,24021.67,114.92
13,2024-02-02 09:38:25,0.0,1015.74,29.31,54.47,24165.0,118.24
