答案,DayOfYear,MinutesSinceStartOfDay,LocationCode
,155.0,710.0,4.0
,155.0,720.0,4.0
,155.0,730.0,4.0
,155.0,740.0,4.0
,155.0,750.0,4.0
,155.0,760.0,4.0
,155.0,770.0,4.0
,155.0,780.0,4.0
,155.0,790.0,4.0
,155.0,800.0,4.0
,155.0,810.0,4.0
,155.0,820.0,4.0
,155.0,830.0,4.0
,155.0,840.0,4.0
,155.0,850.0,4.0
,155.0,860.0,4.0
,155.0,870.0,4.0
,155.0,880.0,4.0
,155.0,890.0,4.0
,155.0,900.0,4.0
,155.0,910.0,4.0
,155.0,920.0,4.0
,155.0,930.0,4.0
,155.0,940.0,4.0
,155.0,950.0,4.0
,155.0,960.0,4.0
,155.0,970.0,4.0
,155.0,980.0,4.0
,155.0,990.0,4.0
,155.0,1000.0,4.0
,155.0,1010.0,4.0
,157.0,550.0,4.0
,157.0,560.0,4.0
,157.0,570.0,4.0
,157.0,580.0,4.0
,157.0,590.0,4.0
,157.0,600.0,4.0
,157.0,610.0,4.0
,157.0,620.0,4.0
,157.0,630.0,4.0
,157.0,640.0,4.0
,157.0,650.0,4.0
,157.0,660.0,4.0
,157.0,670.0,4.0
,157.0,680.0,4.0
,157.0,690.0,4.0
,157.0,700.0,4.0
,157.0,710.0,4.0
,157.0,720.0,4.0
,157.0,730.0,4.0
,157.0,740.0,4.0
,157.0,750.0,4.0
,157.0,760.0,4.0
,157.0,770.0,4.0
,157.0,780.0,4.0
,157.0,790.0,4.0
,157.0,800.0,4.0
,157.0,810.0,4.0
,157.0,820.0,4.0
,157.0,830.0,4.0
,157.0,840.0,4.0
,157.0,850.0,4.0
,157.0,860.0,4.0
,157.0,870.0,4.0
,157.0,880.0,4.0
,157.0,890.0,4.0
,157.0,900.0,4.0
,157.0,910.0,4.0
,157.0,920.0,4.0
,157.0,930.0,4.0
,157.0,940.0,4.0
,157.0,950.0,4.0
,157.0,960.0,4.0
,157.0,970.0,4.0
,157.0,980.0,4.0
,157.0,990.0,4.0
,157.0,1000.0,4.0
,157.0,1010.0,4.0
,172.0,550.0,4.0
,172.0,560.0,4.0
,172.0,570.0,4.0
,172.0,580.0,4.0
,172.0,590.0,4.0
,172.0,600.0,4.0
,172.0,610.0,4.0
,172.0,620.0,4.0
,172.0,630.0,4.0
,172.0,640.0,4.0
,172.0,650.0,4.0
,172.0,660.0,4.0
,172.0,670.0,4.0
,172.0,680.0,4.0
,172.0,690.0,4.0
,172.0,700.0,4.0
,172.0,710.0,4.0
,172.0,720.0,4.0
,172.0,730.0,4.0
,172.0,740.0,4.0
,172.0,750.0,4.0
,172.0,760.0,4.0
,172.0,770.0,4.0
,172.0,780.0,4.0
,172.0,790.0,4.0
,172.0,800.0,4.0
,172.0,810.0,4.0
,172.0,820.0,4.0
,172.0,830.0,4.0
,172.0,840.0,4.0
,172.0,850.0,4.0
,172.0,860.0,4.0
,172.0,870.0,4.0
,172.0,880.0,4.0
,172.0,890.0,4.0
,172.0,900.0,4.0
,172.0,910.0,4.0
,172.0,920.0,4.0
,172.0,930.0,4.0
,172.0,940.0,4.0
,172.0,950.0,4.0
,172.0,960.0,4.0
,172.0,970.0,4.0
,172.0,980.0,4.0
,172.0,990.0,4.0
,172.0,1000.0,4.0
,172.0,1010.0,4.0
,176.0,550.0,4.0
,176.0,560.0,4.0
,176.0,570.0,4.0
,176.0,580.0,4.0
,176.0,590.0,4.0
,176.0,600.0,4.0
,176.0,610.0,4.0
,176.0,620.0,4.0
,176.0,630.0,4.0
,176.0,640.0,4.0
,176.0,650.0,4.0
,176.0,660.0,4.0
,176.0,670.0,4.0
,176.0,680.0,4.0
,176.0,690.0,4.0
,176.0,700.0,4.0
,176.0,710.0,4.0
,176.0,720.0,4.0
,176.0,730.0,4.0
,176.0,740.0,4.0
,176.0,750.0,4.0
,176.0,760.0,4.0
,176.0,770.0,4.0
,176.0,780.0,4.0
,176.0,790.0,4.0
,176.0,800.0,4.0
,176.0,810.0,4.0
,176.0,820.0,4.0
,176.0,830.0,4.0
,176.0,840.0,4.0
,176.0,850.0,4.0
,176.0,860.0,4.0
,176.0,870.0,4.0
,176.0,880.0,4.0
,176.0,890.0,4.0
,176.0,900.0,4.0
,176.0,910.0,4.0
,176.0,920.0,4.0
,176.0,930.0,4.0
,176.0,940.0,4.0
,176.0,950.0,4.0
,176.0,960.0,4.0
,176.0,970.0,4.0
,176.0,980.0,4.0
,176.0,990.0,4.0
,176.0,1000.0,4.0
,176.0,1010.0,4.0
,184.0,550.0,4.0
,184.0,560.0,4.0
,184.0,570.0,4.0
,184.0,580.0,4.0
,184.0,590.0,4.0
,184.0,600.0,4.0
,184.0,610.0,4.0
,184.0,620.0,4.0
,184.0,630.0,4.0
,184.0,640.0,4.0
,184.0,650.0,4.0
,184.0,660.0,4.0
,184.0,670.0,4.0
,184.0,680.0,4.0
,184.0,690.0,4.0
,184.0,700.0,4.0
,184.0,710.0,4.0
,184.0,720.0,4.0
,184.0,730.0,4.0
,184.0,740.0,4.0
,184.0,750.0,4.0
,184.0,760.0,4.0
,184.0,770.0,4.0
,184.0,780.0,4.0
,184.0,790.0,4.0
,184.0,800.0,4.0
,184.0,810.0,4.0
,184.0,820.0,4.0
,184.0,830.0,4.0
,184.0,840.0,4.0
,184.0,850.0,4.0
,184.0,860.0,4.0
,184.0,870.0,4.0
,184.0,880.0,4.0
,184.0,890.0,4.0
,184.0,900.0,4.0
,184.0,910.0,4.0
,184.0,920.0,4.0
,184.0,930.0,4.0
,184.0,940.0,4.0
,184.0,950.0,4.0
,184.0,960.0,4.0
,184.0,970.0,4.0
,184.0,980.0,4.0
,184.0,990.0,4.0
,184.0,1000.0,4.0
,184.0,1010.0,4.0
,119.0,560.0,5.0
,119.0,570.0,5.0
,119.0,580.0,5.0
,119.0,590.0,5.0
,119.0,600.0,5.0
,119.0,610.0,5.0
,119.0,620.0,5.0
,119.0,630.0,5.0
,119.0,640.0,5.0
,119.0,650.0,5.0
,119.0,660.0,5.0
,119.0,670.0,5.0
,119.0,680.0,5.0
,119.0,690.0,5.0
,119.0,700.0,5.0
,119.0,710.0,5.0
,119.0,720.0,5.0
,119.0,730.0,5.0
,119.0,740.0,5.0
,119.0,750.0,5.0
,119.0,760.0,5.0
,119.0,770.0,5.0
,119.0,780.0,5.0
,119.0,790.0,5.0
,119.0,800.0,5.0
,119.0,810.0,5.0
,119.0,820.0,5.0
,119.0,830.0,5.0
,119.0,840.0,5.0
,119.0,850.0,5.0
,119.0,860.0,5.0
,119.0,870.0,5.0
,119.0,880.0,5.0
,119.0,890.0,5.0
,119.0,900.0,5.0
,119.0,910.0,5.0
,119.0,920.0,5.0
,119.0,930.0,5.0
,119.0,940.0,5.0
,119.0,950.0,5.0
,119.0,960.0,5.0
,119.0,970.0,5.0
,119.0,980.0,5.0
,119.0,990.0,5.0
,119.0,1000.0,5.0
,132.0,550.0,5.0
,132.0,560.0,5.0
,132.0,570.0,5.0
,132.0,580.0,5.0
,132.0,590.0,5.0
,132.0,600.0,5.0
,132.0,610.0,5.0
,132.0,620.0,5.0
,132.0,630.0,5.0
,132.0,640.0,5.0
,132.0,650.0,5.0
,132.0,660.0,5.0
,132.0,670.0,5.0
,132.0,680.0,5.0
,132.0,690.0,5.0
,132.0,700.0,5.0
,132.0,710.0,5.0
,132.0,720.0,5.0
,132.0,730.0,5.0
,132.0,740.0,5.0
,132.0,750.0,5.0
,132.0,760.0,5.0
,132.0,770.0,5.0
,132.0,780.0,5.0
,132.0,790.0,5.0
,132.0,800.0,5.0
,132.0,810.0,5.0
,132.0,820.0,5.0
,132.0,830.0,5.0
,132.0,840.0,5.0
,132.0,850.0,5.0
,132.0,860.0,5.0
,132.0,870.0,5.0
,132.0,880.0,5.0
,132.0,890.0,5.0
,132.0,900.0,5.0
,132.0,910.0,5.0
,132.0,920.0,5.0
,132.0,930.0,5.0
,132.0,940.0,5.0
,132.0,950.0,5.0
,132.0,960.0,5.0
,132.0,970.0,5.0
,132.0,980.0,5.0
,132.0,990.0,5.0
,132.0,1000.0,5.0
,132.0,1010.0,5.0
,134.0,560.0,5.0
,134.0,570.0,5.0
,134.0,580.0,5.0
,134.0,590.0,5.0
,134.0,600.0,5.0
,134.0,610.0,5.0
,134.0,620.0,5.0
,134.0,630.0,5.0
,134.0,640.0,5.0
,134.0,650.0,5.0
,134.0,660.0,5.0
,134.0,670.0,5.0
,134.0,680.0,5.0
,134.0,690.0,5.0
,134.0,700.0,5.0
,134.0,710.0,5.0
,134.0,720.0,5.0
,134.0,730.0,5.0
,134.0,740.0,5.0
,134.0,750.0,5.0
,134.0,760.0,5.0
,134.0,770.0,5.0
,134.0,780.0,5.0
,134.0,790.0,5.0
,134.0,800.0,5.0
,134.0,810.0,5.0
,134.0,820.0,5.0
,134.0,830.0,5.0
,134.0,840.0,5.0
,134.0,850.0,5.0
,134.0,860.0,5.0
,134.0,870.0,5.0
,134.0,880.0,5.0
,134.0,890.0,5.0
,134.0,900.0,5.0
,134.0,910.0,5.0
,134.0,920.0,5.0
,134.0,930.0,5.0
,134.0,940.0,5.0
,134.0,950.0,5.0
,134.0,960.0,5.0
,134.0,970.0,5.0
,134.0,980.0,5.0
,134.0,990.0,5.0
,134.0,1000.0,5.0
,134.0,1010.0,5.0
,146.0,550.0,5.0
,146.0,560.0,5.0
,146.0,570.0,5.0
,146.0,580.0,5.0
,146.0,590.0,5.0
,146.0,600.0,5.0
,146.0,610.0,5.0
,146.0,620.0,5.0
,146.0,630.0,5.0
,146.0,640.0,5.0
,146.0,650.0,5.0
,146.0,660.0,5.0
,146.0,670.0,5.0
,146.0,680.0,5.0
,146.0,690.0,5.0
,146.0,700.0,5.0
,146.0,710.0,5.0
,146.0,720.0,5.0
,146.0,730.0,5.0
,146.0,740.0,5.0
,146.0,750.0,5.0
,146.0,760.0,5.0
,146.0,770.0,5.0
,146.0,780.0,5.0
,146.0,790.0,5.0
,146.0,800.0,5.0
,146.0,810.0,5.0
,146.0,820.0,5.0
,146.0,830.0,5.0
,146.0,840.0,5.0
,146.0,850.0,5.0
,146.0,860.0,5.0
,146.0,870.0,5.0
,146.0,880.0,5.0
,146.0,890.0,5.0
,146.0,900.0,5.0
,146.0,910.0,5.0
,146.0,920.0,5.0
,146.0,930.0,5.0
,146.0,940.0,5.0
,146.0,950.0,5.0
,146.0,960.0,5.0
,146.0,970.0,5.0
,146.0,980.0,5.0
,146.0,990.0,5.0
,146.0,1000.0,5.0
,146.0,1010.0,5.0
,154.0,550.0,5.0
,154.0,560.0,5.0
,154.0,570.0,5.0
,154.0,580.0,5.0
,154.0,590.0,5.0
,154.0,600.0,5.0
,154.0,610.0,5.0
,154.0,620.0,5.0
,154.0,630.0,5.0
,154.0,640.0,5.0
,154.0,650.0,5.0
,154.0,660.0,5.0
,154.0,670.0,5.0
,154.0,680.0,5.0
,154.0,690.0,5.0
,154.0,700.0,5.0
,154.0,710.0,5.0
,154.0,720.0,5.0
,154.0,730.0,5.0
,154.0,740.0,5.0
,154.0,750.0,5.0
,154.0,760.0,5.0
,154.0,770.0,5.0
,154.0,780.0,5.0
,154.0,790.0,5.0
,154.0,800.0,5.0
,154.0,810.0,5.0
,154.0,820.0,5.0
,154.0,830.0,5.0
,154.0,840.0,5.0
,154.0,850.0,5.0
,154.0,860.0,5.0
,154.0,870.0,5.0
,154.0,880.0,5.0
,154.0,890.0,5.0
,154.0,900.0,5.0
,154.0,910.0,5.0
,154.0,920.0,5.0
,154.0,930.0,5.0
,154.0,940.0,5.0
,154.0,950.0,5.0
,154.0,960.0,5.0
,154.0,970.0,5.0
,154.0,980.0,5.0
,154.0,990.0,5.0
,154.0,1000.0,5.0
,154.0,1010.0,5.0
,174.0,550.0,5.0
,174.0,560.0,5.0
,174.0,570.0,5.0
,174.0,580.0,5.0
,174.0,590.0,5.0
,174.0,600.0,5.0
,174.0,610.0,5.0
,174.0,620.0,5.0
,174.0,630.0,5.0
,174.0,640.0,5.0
,174.0,650.0,5.0
,174.0,660.0,5.0
,174.0,670.0,5.0
,174.0,680.0,5.0
,174.0,690.0,5.0
,174.0,700.0,5.0
,174.0,710.0,5.0
,174.0,720.0,5.0
,174.0,730.0,5.0
,174.0,740.0,5.0
,174.0,750.0,5.0
,174.0,760.0,5.0
,174.0,770.0,5.0
,174.0,780.0,5.0
,174.0,790.0,5.0
,174.0,800.0,5.0
,174.0,810.0,5.0
,174.0,820.0,5.0
,174.0,830.0,5.0
,174.0,840.0,5.0
,174.0,850.0,5.0
,174.0,860.0,5.0
,174.0,870.0,5.0
,174.0,880.0,5.0
,174.0,890.0,5.0
,174.0,900.0,5.0
,174.0,910.0,5.0
,174.0,920.0,5.0
,174.0,930.0,5.0
,174.0,940.0,5.0
,174.0,950.0,5.0
,174.0,960.0,5.0
,174.0,970.0,5.0
,174.0,980.0,5.0
,174.0,990.0,5.0
,174.0,1000.0,5.0
,174.0,1010.0,5.0
,175.0,550.0,5.0
,175.0,560.0,5.0
,175.0,570.0,5.0
,175.0,580.0,5.0
,175.0,590.0,5.0
,175.0,600.0,5.0
,175.0,610.0,5.0
,175.0,620.0,5.0
,175.0,630.0,5.0
,175.0,640.0,5.0
,175.0,650.0,5.0
,175.0,660.0,5.0
,175.0,670.0,5.0
,175.0,680.0,5.0
,175.0,690.0,5.0
,175.0,700.0,5.0
,175.0,710.0,5.0
,175.0,720.0,5.0
,175.0,730.0,5.0
,175.0,740.0,5.0
,175.0,750.0,5.0
,175.0,760.0,5.0
,175.0,770.0,5.0
,175.0,780.0,5.0
,175.0,790.0,5.0
,175.0,800.0,5.0
,175.0,810.0,5.0
,175.0,820.0,5.0
,175.0,830.0,5.0
,175.0,840.0,5.0
,175.0,850.0,5.0
,175.0,860.0,5.0
,175.0,870.0,5.0
,175.0,880.0,5.0
,175.0,890.0,5.0
,175.0,900.0,5.0
,175.0,910.0,5.0
,175.0,920.0,5.0
,175.0,930.0,5.0
,175.0,940.0,5.0
,175.0,950.0,5.0
,175.0,960.0,5.0
,175.0,970.0,5.0
,175.0,980.0,5.0
,175.0,990.0,5.0
,175.0,1000.0,5.0
,175.0,1010.0,5.0
,176.0,550.0,5.0
,176.0,560.0,5.0
,176.0,570.0,5.0
,176.0,580.0,5.0
,176.0,590.0,5.0
,176.0,600.0,5.0
,176.0,610.0,5.0
,176.0,620.0,5.0
,176.0,630.0,5.0
,176.0,640.0,5.0
,176.0,650.0,5.0
,176.0,660.0,5.0
,176.0,670.0,5.0
,176.0,680.0,5.0
,176.0,690.0,5.0
,176.0,700.0,5.0
,176.0,710.0,5.0
,176.0,720.0,5.0
,176.0,730.0,5.0
,176.0,740.0,5.0
,176.0,750.0,5.0
,176.0,760.0,5.0
,176.0,770.0,5.0
,176.0,780.0,5.0
,176.0,790.0,5.0
,176.0,800.0,5.0
,176.0,810.0,5.0
,176.0,820.0,5.0
,176.0,830.0,5.0
,176.0,840.0,5.0
,176.0,850.0,5.0
,176.0,860.0,5.0
,176.0,870.0,5.0
,176.0,880.0,5.0
,176.0,890.0,5.0
,176.0,900.0,5.0
,176.0,910.0,5.0
,176.0,920.0,5.0
,176.0,930.0,5.0
,176.0,940.0,5.0
,176.0,950.0,5.0
,176.0,960.0,5.0
,176.0,970.0,5.0
,176.0,980.0,5.0
,176.0,990.0,5.0
,176.0,1000.0,5.0
,176.0,1010.0,5.0
,187.0,550.0,5.0
,187.0,560.0,5.0
,187.0,570.0,5.0
,187.0,580.0,5.0
,187.0,590.0,5.0
,187.0,600.0,5.0
,187.0,610.0,5.0
,187.0,620.0,5.0
,187.0,630.0,5.0
,187.0,640.0,5.0
,187.0,650.0,5.0
,187.0,660.0,5.0
,187.0,670.0,5.0
,187.0,680.0,5.0
,187.0,690.0,5.0
,187.0,700.0,5.0
,187.0,710.0,5.0
,187.0,720.0,5.0
,187.0,730.0,5.0
,187.0,740.0,5.0
,187.0,750.0,5.0
,187.0,760.0,5.0
,187.0,770.0,5.0
,187.0,780.0,5.0
,187.0,790.0,5.0
,187.0,800.0,5.0
,187.0,810.0,5.0
,187.0,820.0,5.0
,187.0,830.0,5.0
,187.0,840.0,5.0
,187.0,850.0,5.0
,187.0,860.0,5.0
,187.0,870.0,5.0
,187.0,880.0,5.0
,187.0,890.0,5.0
,187.0,900.0,5.0
,187.0,910.0,5.0
,187.0,920.0,5.0
,187.0,930.0,5.0
,187.0,940.0,5.0
,187.0,950.0,5.0
,187.0,960.0,5.0
,187.0,970.0,5.0
,187.0,980.0,5.0
,187.0,990.0,5.0
,187.0,1000.0,5.0
,187.0,1010.0,5.0
,189.0,550.0,5.0
,189.0,560.0,5.0
,189.0,570.0,5.0
,189.0,580.0,5.0
,189.0,590.0,5.0
,189.0,600.0,5.0
,189.0,610.0,5.0
,189.0,620.0,5.0
,189.0,630.0,5.0
,189.0,640.0,5.0
,189.0,650.0,5.0
,189.0,660.0,5.0
,189.0,670.0,5.0
,189.0,680.0,5.0
,189.0,690.0,5.0
,189.0,700.0,5.0
,189.0,710.0,5.0
,189.0,720.0,5.0
,189.0,730.0,5.0
,189.0,740.0,5.0
,189.0,750.0,5.0
,189.0,760.0,5.0
,189.0,770.0,5.0
,189.0,780.0,5.0
,189.0,790.0,5.0
,189.0,800.0,5.0
,189.0,810.0,5.0
,189.0,820.0,5.0
,189.0,830.0,5.0
,189.0,840.0,5.0
,189.0,850.0,5.0
,189.0,860.0,5.0
,189.0,870.0,5.0
,189.0,880.0,5.0
,189.0,890.0,5.0
,189.0,900.0,5.0
,189.0,910.0,5.0
,189.0,920.0,5.0
,189.0,930.0,5.0
,189.0,940.0,5.0
,189.0,950.0,5.0
,189.0,960.0,5.0
,189.0,970.0,5.0
,189.0,980.0,5.0
,189.0,990.0,5.0
,189.0,1000.0,5.0
,189.0,1010.0,5.0
,194.0,550.0,5.0
,194.0,560.0,5.0
,194.0,570.0,5.0
,194.0,580.0,5.0
,194.0,590.0,5.0
,194.0,600.0,5.0
,194.0,610.0,5.0
,194.0,620.0,5.0
,194.0,630.0,5.0
,194.0,640.0,5.0
,194.0,650.0,5.0
,194.0,660.0,5.0
,194.0,670.0,5.0
,194.0,680.0,5.0
,194.0,690.0,5.0
,194.0,700.0,5.0
,194.0,710.0,5.0
,194.0,720.0,5.0
,194.0,730.0,5.0
,194.0,740.0,5.0
,194.0,750.0,5.0
,194.0,760.0,5.0
,194.0,770.0,5.0
,194.0,780.0,5.0
,194.0,790.0,5.0
,194.0,800.0,5.0
,194.0,810.0,5.0
,194.0,820.0,5.0
,194.0,830.0,5.0
,194.0,840.0,5.0
,194.0,850.0,5.0
,194.0,860.0,5.0
,194.0,870.0,5.0
,194.0,880.0,5.0
,194.0,890.0,5.0
,194.0,900.0,5.0
,194.0,910.0,5.0
,194.0,920.0,5.0
,194.0,930.0,5.0
,194.0,940.0,5.0
,194.0,950.0,5.0
,194.0,960.0,5.0
,194.0,970.0,5.0
,194.0,980.0,5.0
,194.0,990.0,5.0
,194.0,1000.0,5.0
,194.0,1010.0,5.0
,195.0,550.0,5.0
,195.0,560.0,5.0
,195.0,570.0,5.0
,195.0,580.0,5.0
,195.0,590.0,5.0
,195.0,600.0,5.0
,195.0,610.0,5.0
,195.0,620.0,5.0
,195.0,630.0,5.0
,195.0,640.0,5.0
,195.0,650.0,5.0
,195.0,660.0,5.0
,195.0,670.0,5.0
,195.0,680.0,5.0
,195.0,690.0,5.0
,195.0,700.0,5.0
,195.0,710.0,5.0
,195.0,720.0,5.0
,195.0,730.0,5.0
,195.0,740.0,5.0
,195.0,750.0,5.0
,195.0,760.0,5.0
,195.0,770.0,5.0
,195.0,780.0,5.0
,195.0,790.0,5.0
,195.0,800.0,5.0
,195.0,810.0,5.0
,195.0,820.0,5.0
,195.0,830.0,5.0
,195.0,840.0,5.0
,195.0,850.0,5.0
,195.0,860.0,5.0
,195.0,870.0,5.0
,195.0,880.0,5.0
,195.0,890.0,5.0
,195.0,900.0,5.0
,195.0,910.0,5.0
,195.0,920.0,5.0
,195.0,930.0,5.0
,195.0,940.0,5.0
,195.0,950.0,5.0
,195.0,960.0,5.0
,195.0,970.0,5.0
,195.0,980.0,5.0
,195.0,990.0,5.0
,195.0,1000.0,5.0
,195.0,1010.0,5.0
,140.0,550.0,6.0
,140.0,560.0,6.0
,140.0,570.0,6.0
,140.0,580.0,6.0
,140.0,590.0,6.0
,140.0,600.0,6.0
,140.0,610.0,6.0
,140.0,620.0,6.0
,140.0,630.0,6.0
,140.0,640.0,6.0
,140.0,650.0,6.0
,140.0,660.0,6.0
,140.0,670.0,6.0
,140.0,680.0,6.0
,140.0,690.0,6.0
,140.0,700.0,6.0
,140.0,710.0,6.0
,140.0,720.0,6.0
,140.0,730.0,6.0
,140.0,740.0,6.0
,140.0,750.0,6.0
,140.0,760.0,6.0
,140.0,770.0,6.0
,140.0,780.0,6.0
,140.0,790.0,6.0
,140.0,800.0,6.0
,140.0,810.0,6.0
,140.0,820.0,6.0
,140.0,830.0,6.0
,140.0,840.0,6.0
,140.0,850.0,6.0
,140.0,860.0,6.0
,140.0,870.0,6.0
,140.0,880.0,6.0
,140.0,890.0,6.0
,140.0,900.0,6.0
,140.0,910.0,6.0
,140.0,920.0,6.0
,140.0,930.0,6.0
,140.0,940.0,6.0
,140.0,950.0,6.0
,140.0,960.0,6.0
,140.0,970.0,6.0
,140.0,980.0,6.0
,140.0,990.0,6.0
,140.0,1000.0,6.0
,140.0,1010.0,6.0
,143.0,550.0,6.0
,143.0,560.0,6.0
,143.0,570.0,6.0
,143.0,580.0,6.0
,143.0,590.0,6.0
,143.0,600.0,6.0
,143.0,610.0,6.0
,143.0,620.0,6.0
,143.0,630.0,6.0
,143.0,640.0,6.0
,143.0,650.0,6.0
,143.0,660.0,6.0
,143.0,670.0,6.0
,143.0,680.0,6.0
,143.0,690.0,6.0
,143.0,700.0,6.0
,143.0,710.0,6.0
,143.0,720.0,6.0
,143.0,730.0,6.0
,143.0,740.0,6.0
,143.0,750.0,6.0
,143.0,760.0,6.0
,143.0,770.0,6.0
,143.0,780.0,6.0
,143.0,790.0,6.0
,143.0,800.0,6.0
,143.0,810.0,6.0
,143.0,820.0,6.0
,143.0,830.0,6.0
,143.0,840.0,6.0
,143.0,850.0,6.0
,143.0,860.0,6.0
,143.0,870.0,6.0
,143.0,880.0,6.0
,143.0,890.0,6.0
,143.0,900.0,6.0
,143.0,910.0,6.0
,143.0,920.0,6.0
,143.0,930.0,6.0
,143.0,940.0,6.0
,143.0,950.0,6.0
,143.0,960.0,6.0
,143.0,970.0,6.0
,143.0,980.0,6.0
,143.0,990.0,6.0
,143.0,1000.0,6.0
,143.0,1010.0,6.0
,146.0,550.0,6.0
,146.0,560.0,6.0
,146.0,570.0,6.0
,146.0,580.0,6.0
,146.0,590.0,6.0
,146.0,600.0,6.0
,146.0,610.0,6.0
,146.0,620.0,6.0
,146.0,630.0,6.0
,146.0,640.0,6.0
,146.0,650.0,6.0
,146.0,660.0,6.0
,146.0,670.0,6.0
,146.0,680.0,6.0
,146.0,690.0,6.0
,146.0,700.0,6.0
,146.0,710.0,6.0
,146.0,720.0,6.0
,146.0,730.0,6.0
,146.0,740.0,6.0
,146.0,750.0,6.0
,146.0,760.0,6.0
,146.0,770.0,6.0
,146.0,780.0,6.0
,146.0,790.0,6.0
,146.0,800.0,6.0
,146.0,810.0,6.0
,146.0,820.0,6.0
,146.0,830.0,6.0
,146.0,840.0,6.0
,146.0,850.0,6.0
,146.0,860.0,6.0
,146.0,870.0,6.0
,146.0,880.0,6.0
,146.0,890.0,6.0
,146.0,900.0,6.0
,146.0,910.0,6.0
,146.0,920.0,6.0
,146.0,930.0,6.0
,146.0,940.0,6.0
,146.0,950.0,6.0
,146.0,960.0,6.0
,146.0,970.0,6.0
,146.0,980.0,6.0
,146.0,990.0,6.0
,146.0,1000.0,6.0
,146.0,1010.0,6.0
,153.0,550.0,6.0
,153.0,560.0,6.0
,153.0,570.0,6.0
,153.0,580.0,6.0
,153.0,590.0,6.0
,153.0,600.0,6.0
,153.0,610.0,6.0
,153.0,620.0,6.0
,153.0,630.0,6.0
,153.0,640.0,6.0
,153.0,650.0,6.0
,153.0,660.0,6.0
,153.0,670.0,6.0
,153.0,680.0,6.0
,153.0,690.0,6.0
,153.0,700.0,6.0
,153.0,710.0,6.0
,153.0,720.0,6.0
,153.0,730.0,6.0
,153.0,740.0,6.0
,153.0,750.0,6.0
,153.0,760.0,6.0
,153.0,770.0,6.0
,153.0,780.0,6.0
,153.0,790.0,6.0
,153.0,800.0,6.0
,153.0,810.0,6.0
,153.0,820.0,6.0
,153.0,830.0,6.0
,153.0,840.0,6.0
,153.0,850.0,6.0
,153.0,860.0,6.0
,153.0,870.0,6.0
,153.0,880.0,6.0
,153.0,890.0,6.0
,153.0,900.0,6.0
,153.0,910.0,6.0
,153.0,920.0,6.0
,153.0,930.0,6.0
,153.0,940.0,6.0
,153.0,950.0,6.0
,153.0,960.0,6.0
,153.0,970.0,6.0
,153.0,980.0,6.0
,153.0,990.0,6.0
,153.0,1000.0,6.0
,153.0,1010.0,6.0
,163.0,550.0,6.0
,163.0,560.0,6.0
,163.0,570.0,6.0
,163.0,580.0,6.0
,163.0,590.0,6.0
,163.0,600.0,6.0
,163.0,610.0,6.0
,163.0,620.0,6.0
,163.0,630.0,6.0
,163.0,640.0,6.0
,163.0,650.0,6.0
,163.0,660.0,6.0
,163.0,670.0,6.0
,163.0,680.0,6.0
,163.0,690.0,6.0
,163.0,700.0,6.0
,163.0,710.0,6.0
,163.0,720.0,6.0
,163.0,730.0,6.0
,163.0,740.0,6.0
,163.0,750.0,6.0
